PaperTitle,ID,SearchString,SearchedFrom
"A social informatics perspective on misinformation, disinformation, deception and conflict.",DOI:10.1002/PRA2.85,"""Yi""$ ""misinformation""$ ""social""$ ",DBLP
Addressing Health Misinformation Dissemination on Mobile Social Media.,url:https://dblp.org/rec/conf/icis/GuH19,"""Yi""$ ""misinformation""$ ""social""$ ",DBLP
"Exploring Food Accessibility and Social Vulnerability in Atlanta, Georgia.",url:https://dblp.org/rec/conf/hicss/VoPSS23,"""Yi""$ ""accessibility""$ ""social""$ ",DBLP
Exploring Boundary Conditions of the Impact of Accessibility to Mobile Networks on Employees&apos; Perceptions of Presenteeism: from Both Individual and Social Perspectives.,DOI:10.1007/S10796-019-09898-X,"""Yi""$ ""accessibility""$ ""social""$ ",DBLP
DAMUP: Practical and privacy-aware cloud-based DDoS mitigation.,DOI:10.1109/NOMS.2018.8406312,"""Yi""$ ""privacy""$ ""mitigation""$ ",DBLP
Ethics and privacy of artificial intelligence: Understandings from bibliometrics.,DOI:10.1016/J.KNOSYS.2021.106994,"""Yi""$ ""privacy""$ ""ethics""$ ",DBLP
A Local Differential Privacy Based Method to Preserve Link Privacy in Mobile Social Network.,DOI:10.1109/NANA60121.2023.00071,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A privacy-dependent condition-based privacy-preserving information sharing scheme in online social networks.,DOI:10.1016/J.COMCOM.2023.01.010,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Social influence-based privacy inference attacks in online social networks.,DOI:10.1002/SPY2.194,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Examining help requests on social networking sites: Integrating privacy perception and privacy calculus perspectives.,DOI:10.1016/J.ELERAP.2019.100828,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
GUEST EDITORIAL: Special Issue on Social Sensing and Privacy Computing in Intelligent Social Systems.,DOI:10.1109/TCSS.2020.2970304,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Social Distancing 2.0 with Privacy-Preserving Contact Tracing to Avoid a Second Wave of COVID-19.,url:https://dblp.org/rec/journals/corr/abs-2006-16611,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Love at First Sight: The Interplay Between Privacy Dispositions and Privacy Calculus in Online Social Connectivity Management.,DOI:10.17705/1JAIS.00487,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
"Security and Privacy in Communication Networks - 14th International Conference, SecureComm 2018, Singapore, August 8-10, 2018, Proceedings, Part I",DOI:10.1007/978-3-030-01701-9,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
"Security and Privacy in Communication Networks - 14th International Conference, SecureComm 2018, Singapore, August 8-10, 2018, Proceedings, Part II",DOI:10.1007/978-3-030-01704-0,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Secure and Privacy-Preserving Data Sharing and Collaboration in Mobile Healthcare Social Networks of Smart Cities.,DOI:10.1155/2017/6426495,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Preserving Analytics on Decentralized Social Graphs: The Case of Eigendecomposition.,DOI:10.1109/TKDE.2022.3185079,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Priv-S: Privacy-Sensitive Data Identification in Online Social Networks.,DOI:10.1007/978-981-99-7254-8_17,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
IEEE Access Special Section: Privacy Preservation for Large-Scale User Data in Social Networks.,DOI:10.1109/ACCESS.2020.3036101,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Toward pragmatic modeling of privacy information propagation in online social networks.,DOI:10.1016/J.COMNET.2022.109429,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Preserving Subgraph Matching Scheme With Authentication in Social Networks.,DOI:10.1109/TCC.2020.3012999,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
PeGraph: A System for Privacy-Preserving and Efficient Search Over Encrypted Social Graphs.,DOI:10.1109/TIFS.2022.3201392,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Preserving Analytics on Decentralized Social Graphs: The Case of Eigendecomposition.,DOI:10.48550/ARXIV.2206.09388,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Preserving Verifiable Graph Intersection Scheme With Cryptographic Accumulators in Social Networks.,DOI:10.1109/JIOT.2020.3028417,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy protection of medical data in social network.,DOI:10.1186/S12911-021-01645-0,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
An Intelligent Detection Method of Personal Privacy Disclosure for Social Networks.,DOI:10.1155/2021/5518220,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Fast Settlement Scheme of Aviation Business Privacy Preservation Based on Consortium Blockchain.,DOI:10.1109/ISPA-BDCLOUD-SOCIALCOM-SUSTAINCOM52081.2021.00197,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Using User Behavior to Measure Privacy on Online Social Networks.,DOI:10.1109/ACCESS.2020.3000780,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Improved Cloud-Assisted Privacy-Preserving Profile-Matching Scheme in Mobile Social Networks.,DOI:10.1155/2020/4938736,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Preserving User Profile Matching in Social Networks.,DOI:10.1109/TKDE.2019.2912748,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Enhancing Preferential LBS Query for Mobile Social Network Users.,DOI:10.1155/2020/8892321,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
基于聚类的社交网络隐私保护方法 (Cluster-based Social Network Privacy Protection Method).,DOI:10.11896/JSJKX.180901749,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy Preservation Based on Key Attribute and Structure Generalization of Social Network for Medical Data Publication.,DOI:10.1007/978-3-030-26763-6_38,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Collective Influence Based Privacy Preservation for Social Networks.,DOI:10.1109/NANA.2019.00056,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Probabilistic Privacy Preserving Strategy for Word-of-Mouth Social Networks.,DOI:10.1155/2018/6031715,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-preserving data search and sharing protocol for social networks through wireless applications.,DOI:10.1002/CPE.3870,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Social Location privacy Protection method in vehicular social networks.,DOI:10.1109/ICCW.2017.7962836,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Second Degree Social Connections - Research on Friend-Matching Privacy Preserving Model in Mobile Social Networks.,DOI:10.1109/ISPA/IUCC.2017.00149,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A negative survey based privacy preservation method for topology of social networks.,DOI:10.1016/J.ASOC.2023.110641,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
SAVE: Efficient Privacy-Preserving Location-Based Service Bundle Authentication in Self-Organizing Vehicular Social Networks.,DOI:10.1109/TITS.2021.3106783,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Towards Automated Content-based Photo Privacy Control in User-Centered Social Networks.,DOI:10.1145/3508398.3511517,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
"Design solutions for hybridised spaces in a learning and teaching context: seven patterns that address social practice, privacy, and participation.",DOI:10.1145/3551902.3564592,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Deep Learning-Based User Privacy Settings Recommendation in Online Social Networks.,DOI:10.1109/IJCNN55064.2022.9892734,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-preserving point-of-interest recommendation based on geographical and social influence.,DOI:10.1016/J.INS.2020.07.046,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Privacy-Preserving Federated Learning for Multiparty Data Sharing in Social IoTs.,DOI:10.1109/TNSE.2021.3074185,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Automated PII Extraction from Social Media for Raising Privacy Awareness: A Deep Transfer Learning Approach.,DOI:10.1109/ISI53945.2021.9624678,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Synthetic Differential Privacy Data Generation for Revealing Bias Modelling Risks.,DOI:10.1109/ISPA-BDCLOUD-SOCIALCOM-SUSTAINCOM52081.2021.00211,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Migration Privacy Protection Based on Scheduling Algorithm for Online Car-Hailing.,DOI:10.1007/978-981-16-7913-1_11,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy-Enhanced Federated Learning with Weighted Aggregation.,DOI:10.1007/978-981-16-7913-1_7,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Fine-grained Privacy-Preserving Profile Matching Scheme in Mobile Social Networks.,DOI:10.1109/TRUSTCOM53373.2021.00069,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
User Motivation Based Privacy Preservation in Location Based Social Networks.,DOI:10.1109/SWC50871.2021.00070,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Automated PII Extraction from Social Media for Raising Privacy Awareness: A Deep Transfer Learning Approach.,url:https://dblp.org/rec/journals/corr/abs-2111-09415,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Survey on Privacy Issues in Mobile Social Networks.,DOI:10.1109/ACCESS.2020.3009691,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Privacy-Preserving Scheme for Interactive Messaging Over Online Social Networks.,DOI:10.1109/JIOT.2020.2986341,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
LPPRS: New Location Privacy Preserving Schemes Based on Ring Signature over Mobile Social Networks.,DOI:10.1007/978-3-030-71852-7_19,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Trading Privacy for Social Good: Did America Unite During COVID-19?,url:https://dblp.org/rec/conf/icis/GhoseLYSFA20,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Security and Privacy Data Protection Methods for Online Social Networks in the Era of Big Data.,DOI:10.1007/978-3-030-51103-6_5,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
The Movie Recommendation System Based on Differential Privacy.,DOI:10.1007/978-981-15-9031-3_28,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Research on Privacy Paradox in Social Networks Based on Evolutionary Game Theory and Data Mining.,url:https://dblp.org/rec/conf/whiceb/HuangLCW20,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Data Trading with a Monopoly Social Network: Outcomes are Mostly Privacy Welfare Damaging.,url:https://dblp.org/rec/journals/corr/abs-2012-08729,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Does privacy assurance on social commerce sites matter to millennials?,DOI:10.1016/J.IJINFOMGT.2018.10.016,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Node Attributed Query Access Algorithm Based on Improved Personalized Differential Privacy Protection in Social Network.,DOI:10.1007/S10776-019-00441-Y,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
When Crowdsourcing Meets Social IoT: An Efficient Privacy-Preserving Incentive Mechanism.,DOI:10.1109/JIOT.2019.2930659,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Moving Beyond Set-It-And-Forget-It Privacy Settings on Social Media.,DOI:10.1145/3319535.3354202,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Location Privacy Protection Method Based on a Proxy in Un-Trusted Mobile Social Networks.,DOI:10.1109/DASC/PICOM/CBDCOM/CYBERSCITECH.2019.00061,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
An Empirical Study on the Privacy Preservation of Online Social Networks.,DOI:10.1109/ACCESS.2018.2822693,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Geo-social network publication based on differential privacy.,DOI:10.1007/S11704-018-8075-Z,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Maximising influence in sensed heterogeneous social network with privacy preservation.,DOI:10.1504/IJSNET.2018.096194,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
PTPP: Preference-Aware Trajectory Privacy-Preserving over Location-Based Social Networks.,url:https://dblp.org/rec/journals/jise/ZhuXLGLX18,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Big Data Privacy Respecting Dissemination Method for Social Network.,DOI:10.1007/S11265-017-1251-9,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
ACP: An Efficient User Location Privacy Preserving Protocol for Opportunistic Mobile Social Networks.,DOI:10.1109/COMPSAC.2018.00093,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Photo Privacy Protection on Online Social Networks.,DOI:10.1145/3272973.3272988,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Solution Space Adjustable CNF Obfuscation for Privacy-Preserving SAT Solving.,DOI:10.1109/BDCLOUD.2018.00015,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Protecting location privacy in opportunistic mobile social networks.,DOI:10.1109/NOMS.2018.8406248,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Privacy Preserving Social Network Against Dopv Attacks.,DOI:10.1007/978-3-030-02922-7_12,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Attribute Couplet Attacks and Privacy Preservation in Social Networks.,DOI:10.1109/ACCESS.2017.2769090,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Follow But No Track: Privacy Preserved Profile Publishing in Cyber-Physical Social Systems.,DOI:10.1109/JIOT.2017.2679483,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Generating Synthetic Decentralized Social Graphs with Local Differential Privacy.,DOI:10.1145/3133956.3134086,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A Privacy Settings Prediction Model for Textual Posts on Social Networks.,DOI:10.1007/978-3-030-00916-8_53,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Location privacy-protection based on p-destination in mobile social networks: A game theory analysis.,DOI:10.1109/DESEC.2017.8073812,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
A privacy-preserving interactive messaging scheme based on users credibility over online social networks.,DOI:10.1109/ICCCHINA.2017.8330472,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Smartphone Privacy Leakage of Social Relationships and Demographics from Surrounding Access Points.,DOI:10.1109/ICDCS.2017.139,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Users privacy exposure protection on social media.,DOI:10.1109/ICMLC.2017.8108976,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
Preserving Privacy in Social Networks Against Label Pair Attacks.,DOI:10.1007/978-3-319-60033-8_34,"""Yi""$ ""privacy""$ ""social""$ ",DBLP
The STEP Project: Societal and Political Engagement of Young People in Environmental Issues.,DOI:10.1007/978-3-319-70284-1_12,"""Yi""$ ""environmental""$ ""societal""$ ",DBLP
"Environmental, Social and Governance Investing Assessment Under Incomplete Information by the Power Aggregation Model on Probabilistic Linguistic Terms.",DOI:10.1109/ACCESS.2021.3108422,"""Yi""$ ""environmental""$ ""social""$ ",DBLP
"Implications for pure profit, environmental impact and social welfare in a socially responsible supply chain.",DOI:10.1108/K-12-2019-0852,"""Yi""$ ""environmental""$ ""social""$ ",DBLP
"Environmental, User, and Social Context-Aware Augmented Reality for Supporting Personal Development and Change.",DOI:10.1109/VRW55335.2022.00042,"""Yi""$ ""environmental""$ ""social""$ ",DBLP
"ESGBERT: Language Model to Help with Classification Tasks Related to Companies Environmental, Social, and Governance Practices.",DOI:10.48550/ARXIV.2203.16788,"""Yi""$ ""environmental""$ ""social""$ ",DBLP
A distributionally robust credibilistic optimization method for the economic-environmental-energy-social sustainability problem.,DOI:10.1016/J.INS.2019.05.031,"""Yi""$ ""environmental""$ ""social""$ ",DBLP
Examining Green Supply Chain Management and Financial Performance: Roles of Social Control and Environmental Dynamism.,DOI:10.1109/TEM.2017.2752006,"""Yi""$ ""environmental""$ ""social""$ ",DBLP
An Application of Localized Model Explainability: Identifying Key Disparities in Social Determinants of Health in Food Deserts.,DOI:10.1109/BIGDATA55660.2022.10020372,"""Yi""$ ""explainability""$ ""social""$ ",DBLP
How Do Chemistry Faculty and Graduate Students Engage in Decision Making on Issues Related to Ethical and Responsible Conduct of Research Including Authorship?,DOI:10.1007/S11948-022-00381-6,"""Yi""$ ""responsible""$ ""ethics""$ ",DBLP
AFCMiner: Finding Absolute Fair Cliques From Attributed Social Networks for Responsible Computational Social Systems.,DOI:10.1109/TCSS.2023.3245075,"""Yi""$ ""responsible""$ ""social""$ ",DBLP
"Implications for pure profit, environmental impact and social welfare in a socially responsible supply chain.",DOI:10.1108/K-12-2019-0852,"""Yi""$ ""responsible""$ ""social""$ ",DBLP
"An iSchool approach to data science: Human-centered, socially responsible, and context-driven.",DOI:10.1002/ASI.24444,"""Yi""$ ""responsible""$ ""social""$ ",DBLP
Coordination of a socially responsible two-stage supply chain under price-dependent random demand.,DOI:10.1007/S10288-017-0368-9,"""Yi""$ ""responsible""$ ""social""$ ",DBLP
Ethical hacking for boosting IoT vulnerability management: a first look into bug bounty programs and responsible disclosure.,DOI:10.1145/3357767.3357774,"""Yi""$ ""responsible""$ ""ethical""$ ",DBLP
Ethical Hacking for IoT Security: A First Look into Bug Bounty Programs and Responsible Disclosure.,url:https://dblp.org/rec/journals/corr/abs-1909-11166,"""Yi""$ ""responsible""$ ""ethical""$ ",DBLP
How Do Chemistry Faculty and Graduate Students Engage in Decision Making on Issues Related to Ethical and Responsible Conduct of Research Including Authorship?,DOI:10.1007/S11948-022-00381-6,"""Yi""$ ""responsible""$ ""ethical""$ ",DBLP
